run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,qlstm,43.994,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,gru,66.038,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,qgru,14.011,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,ann,-135.532,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,hqnn,29.97,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,RH2m,ensemble,4.171,%
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,lstm,102929.922,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,qlstm,102588.133,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,gru,102878.227,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,qgru,103175.078,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,ann,677983.25,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,hqnn,473670.438,Pa
2026-06-25,2026-06-25,multivariate,2026-06-27,2,PRmsl,ensemble,260537.508,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,lstm,-3.362,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,qlstm,0.957,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,gru,2.172,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,qgru,-3.974,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,ann,10.072,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,hqnn,-2171.196,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,TMP2m,ensemble,-360.889,°C
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,lstm,6.539,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,qlstm,43.905,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,gru,59.096,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,qgru,14.036,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,ann,-135.913,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,hqnn,30.171,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,RH2m,ensemble,2.972,%
2026-06-25,2026-06-25,multivariate,2026-06-28,3,PRmsl,lstm,102930.648,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,PRmsl,qlstm,102568.844,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,PRmsl,gru,102880.391,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,PRmsl,qgru,103189.18,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,PRmsl,ann,678565.312,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,PRmsl,hqnn,474049.594,Pa
2026-06-25,2026-06-25,multivariate,2026-06-28,3,PRmsl,ensemble,260697.328,Pa
2026-06-25,2026-06-25,multivariate,2026-06-29,4,TMP2m,lstm,-3.375,°C
2026-06-25,2026-06-25,multivariate,2026-06-29,4,TMP2m,qlstm,0.973,°C
2026-06-25,2026-06-25,multivariate,2026-06-29,4,TMP2m,gru,2.214,°C
2026-06-25,2026-06-25,multivariate,2026-06-29,4,TMP2m,qgru,-3.916,°C
2026-06-25,2026-06-25,multivariate,2026-06-29,4,TMP2m,ann,10.072,°C
2026-06-25,2026-06-25,multivariate,2026-06-29,4,TMP2m,hqnn,-2172.746,°C
2026-06-25,2026-06-25,multivariate,2026-06-29,4,TMP2m,ensemble,-361.13,°C
2026-06-25,2026-06-25,multivariate,2026-06-29,4,RH2m,lstm,6.542,%
2026-06-25,2026-06-25,multivariate,2026-06-29,4,RH2m,qlstm,43.904,%
2026-06-25,2026-06-25,multivariate,2026-06-29,4,RH2m,gru,56.99,%
2026-06-25,2026-06-25,multivariate,2026-06-29,4,RH2m,qgru,14.039,%
2026-06-25,2026-06-25,multivariate,2026-06-29,4,RH2m,ann,-136.031,%
2026-06-25,2026-06-25,multivariate,2026-06-29,4,RH2m,hqnn,30.155,%
2026-06-25,2026-06-25,multivariate,2026-06-29,4,RH2m,ensemble,2.6,%
2026-06-25,2026-06-25,multivariate,2026-06-29,4,PRmsl,lstm,102930.617,Pa
2026-06-25,2026-06-25,multivariate,2026-06-29,4,PRmsl,qlstm,102585.508,Pa
2026-06-25,2026-06-25,multivariate,2026-06-29,4,PRmsl,gru,102882.203,Pa
2026-06-25,2026-06-25,multivariate,2026-06-29,4,PRmsl,qgru,103190.406,Pa
2026-06-25,2026-06-25,multivariate,2026-06-29,4,PRmsl,ann,678709.75,Pa
2026-06-25,2026-06-25,multivariate,2026-06-29,4,PRmsl,hqnn,474139.188,Pa
2026-06-25,2026-06-25,multivariate,2026-06-29,4,PRmsl,ensemble,260739.612,Pa
2026-06-25,2026-06-25,multivariate,2026-06-30,5,TMP2m,lstm,-3.351,°C
2026-06-25,2026-06-25,multivariate,2026-06-30,5,TMP2m,qlstm,0.975,°C
