run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,qlstm,33.572,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,gru,34.434,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,qgru,37.056,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,ann,34.673,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,hqnn,34.168,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,TMP2m,ensemble,34.754,°C
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,lstm,45.985,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,qlstm,50.127,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,gru,47.88,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,qgru,51.776,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,ann,49.74,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,hqnn,50.314,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,RH2m,ensemble,49.304,%
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,lstm,100186.469,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,qlstm,100235.609,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,gru,100437.797,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,qgru,99832.922,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,ann,100196.141,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,hqnn,100121.562,hPa
2026-06-25,2026-06-20,univariate,2026-06-24,4,PRmsl,ensemble,100168.417,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,lstm,34.078,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,qlstm,33.311,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,gru,33.8,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,qgru,35.124,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,ann,33.574,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,hqnn,33.532,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,TMP2m,ensemble,33.903,°C
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,lstm,44.857,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,qlstm,53.918,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,gru,51.017,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,qgru,54.852,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,ann,43.429,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,hqnn,56.396,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,RH2m,ensemble,50.745,%
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,lstm,100307.711,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,qlstm,100340.477,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,gru,100575.016,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,qgru,99926.047,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,ann,100302.562,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,hqnn,100230.516,hPa
2026-06-25,2026-06-20,univariate,2026-06-25,5,PRmsl,ensemble,100280.388,hPa
